kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
宗;S6;8;1;Ukanmuri;shuu, soo;religion, sect, denomination;-;-
渋;S6;11;1;Mizu, Sanzui, Shitamizu;juu;hesitate, be reluctant;shibu, shibu(i), shibu(ru);hesitate, be reluctant
網;S6;14;1;Ito, Itohen;moo;net, network;ami;net, netting
淡;S6;11;1;Mizu, Sanzui, Shitamizu;tan;light, faint, pale, fleeting;awa(i);light, faint, pale, fleeting
慌;S6;12;0;Kokoro, Risshinben, Shitagokoro;koo;be confused, lose one's head, be hurried, be hasty;awa(teru), awa(tadashii);be confused, lose one's head, be hurried, be hasty, busy, bustling, confused
怪;S6;8;1;Kokoro, Risshinben, Shitagokoro;kai;mystery;aya(shii), aya(shimu);doubt
威;S6;9;1;Onna, Onnahen;i;dignity, majesty, authority;-;-
偽;S6;11;1;Hito, Ninben, Hitoyane;gi;lie, falsity;itsuwa(ru), nise;lie, falsity
秀;S6;7;1;Nogi, Nogihen;shuu;excellence;hii(deru);surpass, excel, tower above, rise to eminence 
哀;S6;9;1;Kuchi, Kuchihen;ai;pity, have mercy on, sympathize with;awa(re), awa(remu);pity, have mercy on, sympathize with, grief, sorrow, misery
惜;S6;11;1;Kokoro, Risshinben, Shitagokoro;seki;be sparing of;o(shii), o(shimu);be sparing of
票;S6;11;1;Shimesu, Shimesuhen;hyoo;label;-;-
拒;S6;8;1;Tehen;kyo;refuse, reject, decline;koba(mu);refuse, reject, decline
斜;S6;11;1;Tomasu;sha;slanting, oblique;nana(me);slanting, diagonal, oblique, askew
還;S6;16;1;Shinnyoo;kan;return;-;-
患;S6;11;2;Kokoro, Risshinben, Shitagokoro;kan;disease;wazura(u);be ill, suffer from
劣;S6;6;1;Chikara;retsu;be inferior to, be worse than;oto(ru);be inferior to, be worse than
赴;S6;9;1;Hashiru, Soonyoo;fu;proceed to;omomu(ku);proceed to
緊;S6;15;1;Ito, Itohen;kin;hard, solid;-;-
穏;S6;16;1;Nogi, Nogihen;on;calm, quiet, peace;oda(yaka);calm, quiet, peace
罰;S6;14;1;Amigashira;batsu, bachi;punishment, penalty;-;-
潔;S6;15;1;Mizu, Sanzui, Shitamizu;ketsu;pure, clean, righteous;isagiyo(i);pure, clean, righteous
丘;S6;5;1;Ichi;kyuu;hill, knoll, rising ground;oka;hill, knoll, rising ground
輝;S6;15;1;Kuruma, Kurumahen;ki;shine, sparkle, gleam, twinkle;kagaya(ku);shine, sparkle, gleam, twinkle
汽;S6;7;1;Mizu, Sanzui, Shitamizu;ki;vapor, steam;-;-
傑;S6;13;1;Hito, Ninben, Hitoyane;ketsu;excellent;-;-
飢;S6;10;1;Shoku, Shokuhen;ki;be hungry, starve;u(eru);be hungry, starve
貫;S6;11;1;Kai, Kaihen;kan;8.3/1 pounds;tsuranu(ku);pierce, penetrate, perforate
範;S6;15;1;Take, Takekanmuri;han;example, model, pattern;-;-
孤;S6;9;1;Ko, Kohen;ko;orphan;-;-
犠;S6;17;1;Ushi, Ushihen;gi;sacrifice;-;-
牲;S6;9;1;Ushi, Ushihen;sei;sacrifice, offering, gift;-;-
獲;S6;16;1;Inu, Kemonohen;kaku;get, acquire, find, earn, win, gain, receive;e(ru);get, acquire, find, earn, win, gain, receive
訴;S6;12;1;Gon, Gonben;so;sue;utta(eru);sue
訟;S6;11;1;Gon, Gonben;shoo;accuse;-;-
庶;S6;11;1;Madare;sho;all;-;-
娯;S6;10;1;Onna, Onnahen;go;pleasure;-;-
鈴;S6;13;1;Kane, Kanehen;rei, rin;bell, hand bell, buzzer;suzu;bell
肺;S6;9;1;Niku, Nikuzuki;hai;lung;-;-
堅;S6;12;1;Tsuchi, Tsuchihen;ken;hard, solid;kata(i);hard, solid
魂;S6;14;1;Oni, Kinyoo;kon;soul, spirit;tamashii;soul, spirit
攻;S6;7;1;Nobun;koo;attack, assault;se(meru);attack, offensive
撃;S6;15;1;Te;geki;attack, defeat, destroy, conquer;u(tsu);strike, hit, beat, knock, slap, punch, thrash, smite
腐;S6;14;1;Niku, Nikuzuki;fu;rot, decay;kusa(ru), kusa(reru), kusa(rasu);rot, decay
滑;S6;13;1;Mizu, Sanzui, Shitamizu;katsu, kotsu;slide, glide, skate;sube(ru), name(raka);slide, glide, skate
