kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
税;S4;12;2;Nogi, Nogihen;zei;tax, duty;-;-
型;S4;9;2;Tsuchi, Tsuchihen;kei;model, mold, matrix, impression;kata;model, mold, matrix, impression
状;S4;7;3;Inu, Kemonohen;joo;condition, circumstances;-;-
舞;S4;15;3;Maiashi;bu;dance;ma(u), mai;dance
令;S4;5;2;Hito, Ninben, Hitoyane;rei;order, command;-;-
昭;S4;9;1;Nichi, Nichihen;shoo;clear, bright;-;-
御;S4;12;3;Gyooninben;gyo, go;imperial honorary prefix;on;honorific prefixes
返;S4;7;3;Shinnyoo;hen;answer;kae(su), kae(ru);go back
頂;S4;11;3;Oogai;choo;head;itada(ku), itadaki;be crowned with, wear
拝;S4;8;2;Tehen;hai;worship;oga(mu);worship, pray to, adore, reverence
殿;S4;13;2;Rumata;den, ten;hall, mansion, palace, temple, rear guard ;tono, dono;mister. lord
氏;S4;4;1;Uji;shi;Mr.;uji;clan
末;S4;5;3;Ki, Kihen;matsu, batsu;end;sue;end, close
整;S4;16;1;Nobun;sei;arranging;totono(eru), totono(u);prepare, arrange
現;S4;11;3;Tama, Oo;gen;present, exciting, actual;arawa(reru), arawa(su);appear, emerge, come in sight, show up
貨;S4;11;2;Kai, Kaihen;ka;property, freight, goods;-;-
硬;S4;12;2;Ishi, Ishihen;koo;hard, solid;kata(i);hard, solid
犯;S4;5;3;Inu, Kemonohen;han;offense, crime;oka(su);commit, sin against
駐;S4;15;2;Uma, Umahen;chuu;stop, reside in;-;-
断;S4;11;3;Kin, Onozukuri;dan;decision, judgment;ta(tsu), kotowa(ru);sever, cut off
盗;S4;11;3;Sara;too;thief;nusu(mu);steal, rob, pilfer
触;S4;13;2;Tsuno, Tsunohen;shoku;touching;fu(reru), sawa(ru);touch, feel, hit, strike, graze
挟;S4;9;2;Tehen;kyoo;put between, hold between;hasa(mu), hasa(maru);put between, hold between
責;S4;11;3;Kai, Kaihen;seki;condemn, blame, censure, criticize, take to task;se(meru);condemn, blame, censure, criticize, take to task
担;S4;8;2;Tehen;tan;carry;katsu(gu), nina(u);shoulder (a load). carry on the shoulder
血;S4;6;2;Chi;ketsu;blood;chi;blood, consanguinity
液;S4;11;2;Mizu, Sanzui, Shitamizu;eki;liquid, fluid, juice, sap, secretion;-;-
帯;S4;10;2;Haba, Kinben;tai;belt;o(biru), obi;belt, sash, girdle, band
故;S4;9;1;Nobun;ko;reason, cause;yue;reason, cause
療;S4;17;2;Yamaidare;ryoo;heal, cure;-;-
救;S4;11;1;Nobun;kyuu;save, help, rescue, relieve (suffering);suku(u);save, help, rescue, relieve (suffering)
命;S4;8;3;Kuchi, Kuchihen;mei, myoo;command, decree;inochi;life
戦;S4;13;3;Hokogamae, Hokozukuri;sen;war;ikusa, tataka(u);wage war
録;S4;16;2;Kane, Kanehen;roku;record;-;-
賞;S4;15;2;Kai, Kaihen;shoo;prize, reward, praise;-;-
秒;S4;9;2;Nogi, Nogihen;byoo;one-sixteenth of a minute (of time, latitude, degree, etc.);-;-
測;S4;12;2;Mizu, Sanzui, Shitamizu;soku;measure, gauge, weigh;haka(ru);measure, gauge, weigh
順;S4;12;2;Oogai;jun;order;-;-
投;S4;7;3;Tehen;too;throw;na(geru);throw, hurl
技;S4;7;2;Tehen;gi;art, craft;waza;deed, act, work, art, trick, performance
柔;S4;9;2;Ki, Kihen;juu, nyuu;weakness;yawa(raka), yawa(rakai);soft, tender, plastic
恋;S4;10;2;Kokoro, Risshinben, Shitagokoro;ren;be in love;ko(u), koi, koi(shii);be in love. love, tender sentiment. dear, beloved, darling
愛;S4;13;3;Kokoro, Risshinben, Shitagokoro;ai;love, affection, favorite;-;-
寂;S4;11;1;Ukanmuri;jaku, [seki];quietly;sabi, sabi(shii), sabi(reru);patina, antique look
悲;S4;12;3;Kokoro, Risshinben, Shitagokoro;hi;grieve, be sad, deplore, mourn for, regret ;kana(shii), kana(shimu);grieve, be sad, deplore, mourn for, regret. sad, pathetic, plaintive 
嬉;S4;-;-;-;-;-;-;-
喜;S4;12;3;Kuchi, Kuchihen;ki;rejoice, be glad, be pleased;yoroko(bu);rejoice, be glad, be pleased
悩;S4;10;2;Kokoro, Risshinben, Shitagokoro;noo;distress, illness;naya(mu), naya(masu);worry, be troubled, be afflicted, be in pain. annoy, embarrass, afflict, worry, oppress, torment 
怒;S4;9;3;Kokoro, Risshinben, Shitagokoro;do;become angry, be offended, become excited ;ika(ru), oko(ru);become angry, be offended, become excited
欲;S4;11;3;Akubi;yoku;covetousness;hos(suru), ho(shii);desire, want
涙;S4;10;2;Mizu, Sanzui, Shitamizu;rui;tear, sympathy;namida;tear, sympathy
恥;S4;10;3;Kokoro, Risshinben, Shitagokoro;chi;shame, dishonor, disgrace, humiliation, insult ;ha(jiru), haji, ha(jirau), ha(zukashii);shame, dishonor, disgrace, humiliation, insult.
貯;S4;12;2;Kai, Kaihen;cho;store, lay in stock, save, keep, wear (a mustache);-;-
列;S4;6;3;Katana, Rittoo;retsu;row, rank, tier, file, column, line;-;-
酔;S4;11;1;Tori, Torihen;sui;get drunk;yo(u);get drunk
永;S4;5;2;Mizu, Sanzui, Shitamizu;ei;long, lengthy;naga(i);long, lengthy
幸;S4;8;3;Ichijuu;koo;happiness, fortune;saiwa(i), sachi, shiawa(se);happiness
福;S4;13;3;Shimesu, Shimesuhen;fuku;fortune, blessing, luck, wealth;-;-
協;S4;8;2;Juu;kyoo;cooperation;-;-
将;S4;10;2;Sun;shoo;commander, general, admiral;-;-
贈;S4;18;2;Kai, Kaihen;zoo, [soo];present (something);oku(ru);send, give to, award to, confer on
老;S4;6;3;Oikanmuri;roo;aging, old age, old people;o(iru), fu(keru);grow old
婦;S4;11;3;Onna, Onnahen;fu;woman;-;-
姓;S4;8;2;Onna, Onnahen;sei, shoo;surname, family name;-;-
齢;S4;17;2;Ha, Hahen;rei;age;-;-
仲;S4;6;2;Hito, Ninben, Hitoyane;chuu;relation, relationship;naka;relation, relationship
